iter	RMSE
192	0.2557062213
193	0.2556016231
194	0.255389564
195	0.2551460172
196	0.2550109169
197	0.2547898981
198	0.2546831036
199	0.2545564075
200	0.2543423042
201	0.2542658268
202	0.2541644918
203	0.2540779904
204	0.2539653694
205	0.2539025071
206	0.2538215478
207	0.2535933459
208	0.2534930718
209	0.253328578
210	0.2532351562
211	0.253144523
212	0.252975446
213	0.2528755193
214	0.252720985
215	0.2526412766
216	0.2525328576
217	0.2523772016
218	0.2522813185
219	0.2522021385
220	0.2519841038
221	0.2517926621
222	0.2516505559
223	0.251556767
224	0.2514213787
225	0.2513137261
226	0.2512273119
227	0.2511609205
228	0.2510827294
229	0.2510256182
230	0.2509307132
231	0.2508158293
232	0.2507404097
233	0.2506473118
234	0.2505481594
235	0.2504644852
236	0.2503747923
237	0.2503021121
238	0.2500925476
239	0.2499904479
240	0.2498719623
241	0.2497929125
242	0.2497064626
243	0.249584742
244	0.2495348883
245	0.2494318659
246	0.2493616501
247	0.2492702988
248	0.2491207174
249	0.2490225034
250	0.2489606467
251	0.2488808314
252	0.2487829104
253	0.2485628004
254	0.2484626877
255	0.2483696939
256	0.2482372906
257	0.2481649479
258	0.2481000083
259	0.2480161296
260	0.2478845541
261	0.2477707809
262	0.2476911847
263	0.2476435621
264	0.2475757968
265	0.2474806671
266	0.2473978821
267	0.2472728156
268	0.2472013897
269	0.2471169652
270	0.2470542178
271	0.2469382855
272	0.246750812
273	0.2466655887
274	0.2465630042
275	0.2464163005
276	0.2463358048
277	0.2461722377
278	0.2461030814
279	0.2459735498
280	0.2458197215
281	0.24573482
282	0.2456625521
283	0.2455694657
284	0.2454882462
285	0.2453897357
286	0.2453170413
287	0.2452293547
288	0.2451836651
289	0.2451262691
290	0.2450611719
291	0.2448941052
292	0.2448130295
293	0.2447401188
294	0.2446775146
295	0.2445937392
296	0.2445075052
297	0.2444288061
298	0.2442894484
299	0.2442025082
300	0.2441456299
301	0.2440750017
302	0.2440309858
303	0.2439552715
304	0.2438721264
305	0.2437258092
306	0.2436248788
307	0.2435587665
308	0.2434829503
309	0.2434214046
310	0.2433392878
311	0.2432074086
312	0.2431061186
313	0.2429560639
314	0.2428824875
315	0.2428400056
316	0.2427055744
317	0.2426516747
318	0.2425679757
319	0.242502605
320	0.2424498131
321	0.2423526523
322	0.2422806819
323	0.2422178297
324	0.2421366189
325	0.2420535435
326	0.2419316311
327	0.2418610491
328	0.2417839561
329	0.2417308408
330	0.2416114951
331	0.2415274308
332	0.2414860263
333	0.2414306816
334	0.2413630175
335	0.2412495893
336	0.2411882468
337	0.241112624
338	0.2409789785
339	0.2408999385
340	0.2408333831
341	0.2407742939
342	0.2406163006
343	0.2405293113
344	0.2404570095
345	0.2403974226
346	0.2403508678
347	0.2402838243
348	0.2402437387
349	0.2401154965
350	0.240043483
351	0.2399886772
352	0.2399098943
353	0.239843263
354	0.2397628898
355	0.2396942248
356	0.239592225
357	0.2395207599
358	0.23943694
359	0.2393876283
360	0.2393278944
361	0.2391961067
362	0.2391568381
363	0.2390051515
364	0.2389319126
365	0.2388698859
366	0.2388143266
367	0.2387386758
368	0.2386598395
369	0.238597361
370	0.2385455951
371	0.2384795781
372	0.2383978872
373	0.2383056487
374	0.2382150814
375	0.2381425455
376	0.2380685689
377	0.2379987314
378	0.237802883
379	0.2377481333
380	0.2376719721
381	0.2376243204
382	0.2375558956
383	0.2375014915
384	0.2374634726
385	0.2374036473
386	0.2373511213
387	0.2372237533
388	0.23708664
389	0.2369892134
390	0.2369299937
391	0.2368807297
392	0.2368169597
393	0.2367493804
394	0.2366885529
395	0.236651255
396	0.2365852937
397	0.2364379858
398	0.2363825392
399	0.2362748054
400	0.2362040955
401	0.236157801
402	0.2360944533
403	0.2360414094
404	0.2359222898
405	0.2358468736
406	0.2357507232
407	0.2357054969
408	0.2356295285
409	0.2355933314
410	0.2354911146
411	0.2354291671
412	0.2353625683
413	0.2352384203
414	0.2351644941
415	0.2351049874
416	0.2350391069
417	0.2349757195
418	0.2349062582
419	0.2348553356
420	0.2348198331
421	0.2347614848
422	0.2346531611
423	0.2345884581
424	0.2345108641
425	0.2344666066
426	0.2344160449
427	0.2343605052
428	0.2342923695
429	0.2342466742
430	0.2341623545
431	0.2341077733
432	0.2340173441
433	0.2339522208
434	0.2338938467
435	0.2337721567
436	0.2337223961
437	0.2336060172
438	0.2335373862
439	0.2334825172
440	0.2334145448
441	0.2332870204
442	0.233222083
443	0.2331786005
444	0.2331439641
445	0.2330945836
446	0.2330368392
447	0.2329527391
448	0.2329002121
449	0.2328575565
450	0.2327858714
451	0.2327358268
452	0.2326712693
453	0.2325446997
454	0.232479647
455	0.2324394334
456	0.2323594484
457	0.2322994486
458	0.2322122682
459	0.2321783858
460	0.2320726196
461	0.2320090284
462	0.2319531075
463	0.2318925051
464	0.2318445389
465	0.2317650874
466	0.2316862645
467	0.2316293792
468	0.2315254592
469	0.2314407194
470	0.2313864326
471	0.2313531469
472	0.2313056726
473	0.2312472631
474	0.2312059396
475	0.2311540915
476	0.2310724887
477	0.2309801257
478	0.2309124312
479	0.230853804
480	0.2307660639
481	0.2307182273
482	0.2306613463
483	0.2305709414
484	0.230516064
485	0.2304664814
486	0.230411896
487	0.2303456147
488	0.2303049659
489	0.2302164918
490	0.2301839069
491	0.2301368132
492	0.2300180299
493	0.2299559437
494	0.2298940161
495	0.2298481173
496	0.2297910777
497	0.229750108
498	0.2296818605
499	0.2296302889
500	0.229542651
501	0.2294785259
502	0.2294328641
503	0.2293739087
504	0.2293419159
505	0.2292830409
506	0.2292318823
507	0.2291941114
508	0.2291250317
509	0.2290639635
510	0.2290181518
511	0.2288981035
512	0.2288431931
513	0.2288119445
514	0.2287537193
515	0.2287014129
516	0.2286388416
517	0.2285941878
518	0.2285550992
519	0.2284984607
520	0.2284373054
521	0.2283360847
522	0.2282790562
523	0.2281966872
524	0.2281091096
525	0.22806327
526	0.2280011595
527	0.227916635
528	0.227864254
529	0.2278202019
530	0.2277818763
531	0.2277020168
532	0.2276714143
533	0.2276204255
534	0.2275626117
535	0.227510971
536	0.2274589121
537	0.2274153301
538	0.2273531547
539	0.2273046888
540	0.2272663858
541	0.227228108
542	0.2271866853
543	0.2270501452
544	0.226998144
545	0.2269242913
546	0.2268710261
547	0.2268408567
548	0.2267786233
549	0.2267299981
550	0.2266872168
551	0.2266180436
552	0.2265644581
553	0.2264937632
554	0.2264436678
555	0.2263863346
556	0.2263379372
557	0.226295591
558	0.2262659071
559	0.226214858
560	0.2261779037
561	0.2261182996
562	0.2260626343
563	0.2260151202
564	0.225932097
565	0.2258833787
566	0.2258415637
567	0.2257827808
568	0.2257139642
569	0.2255901431
570	0.2255359271
571	0.2254894323
572	0.2254528864
573	0.2253592635
574	0.2253299266
575	0.2252162201
576	0.2251780038
577	0.2251218716
578	0.2250678519
579	0.2250264281
580	0.2249555382
581	0.2249013525
582	0.2248521113
583	0.2248230182
584	0.2247654484
585	0.2247086476
586	0.224661804
587	0.2246258493
588	0.2245847383
589	0.2245449824
590	0.2244829847
591	0.2244310636
592	0.2243745756
593	0.2243389732
594	0.2242438356
595	0.224198516
596	0.2241450471
597	0.2241164402
598	0.2240455955
599	0.2239959623
600	0.2239555817
601	0.2239015005
602	0.2238465751
603	0.2238182493
604	0.2237691256
605	0.2237251355
606	0.2236898469
607	0.2236435113
608	0.2235807539
609	0.2235407285
610	0.2234487756
611	0.2234027107
612	0.2233520305
613	0.2232699239
614	0.2232351616
615	0.2232071874
616	0.2231658005
617	0.2230927668
618	0.2230538603
619	0.2229142474
620	0.2228702117
621	0.2228208252
622	0.2227721225
623	0.2227459003
624	0.2226799303
625	0.2225804643
626	0.2225280513
627	0.2224934777
628	0.2224522446
629	0.2224050379
630	0.2223658644
631	0.2223384595
632	0.2222847742
633	0.2222326299
634	0.2221986159
635	0.2221409555
636	0.2220555834
637	0.2220099489
638	0.2219273809
639	0.2218873923
640	0.2218414227
641	0.2217898471
642	0.2216772878
643	0.2216239613
644	0.2215024545
645	0.2214679855
646	0.2214182824
647	0.2213325209
648	0.2212635337
649	0.2212202655
650	0.2211930896
651	0.2211379442
652	0.2210994
653	0.2210259414
654	0.2209785322
655	0.2209396605
656	0.2208537585
657	0.2208029744
658	0.2207571653
659	0.2206843791
660	0.2206360064
661	0.220609124
662	0.2205691898
663	0.22051537
664	0.2204663815
665	0.2204054534
666	0.22030627
667	0.2202543829
668	0.2202111959
669	0.2201421139
670	0.2201087864
671	0.2200709987
672	0.2200241159
673	0.2199825302
674	0.219945155
675	0.2199184141
676	0.2198448196
677	0.2197931219
678	0.2197437009
679	0.2197173423
680	0.2196718611
681	0.2196389324
682	0.219587153
683	0.2195495204
684	0.2195169098
685	0.2194740429
686	0.2194369031
687	0.2193887771
688	0.2193471889
689	0.2193210653
690	0.2192655756
691	0.2192088955
692	0.2191631636
693	0.2191262983
694	0.2190861354
695	0.219060338
696	0.2190081659
697	0.2189760029
698	0.2189388523
699	0.2188952711
700	0.2188141312
701	0.2187316607
702	0.2186904231
703	0.2186390968
704	0.2185928235
705	0.2185045398
706	0.2184789456
707	0.2184472392
708	0.218404712
709	0.218368064
710	0.2183178583
711	0.2182375567
712	0.2181851484
713	0.218121751
714	0.2180736973
715	0.2180064808
716	0.217941216
717	0.217915855
718	0.217852974
719	0.2178123868
720	0.2177809507
721	0.2177327738
722	0.2176968253
723	0.2176566428
724	0.217572939
725	0.2175245843
726	0.2174847356
727	0.2174315165
728	0.2173311969
729	0.2172948089
730	0.2172419435
731	0.2172168199
732	0.2171712633
733	0.2171345917
734	0.2171034352
735	0.217057485
736	0.2170159775
737	0.2169542434
738	0.2169293124
739	0.2168671503
740	0.2168210401
741	0.2167857749
742	0.2167359274
743	0.2166864118
744	0.2165994626
745	0.2165573662
746	0.2165263785
747	0.2164283802
748	0.2163598938
749	0.2163139124
750	0.216276043
751	0.2162319414
752	0.2161968896
753	0.2161479092
754	0.2161232403
755	0.2160817108
756	0.2160369144
757	0.2160069619
758	0.2159078593
759	0.2158490554
760	0.2158245177
761	0.215787586
762	0.2157202306
763	0.2156299427
764	0.2155849532
765	0.2155546593
766	0.2154802373
767	0.2154372358
768	0.2154054236
769	0.2153163998
770	0.2152661705
771	0.2152300588
772	0.2151516005
773	0.2151028993
774	0.2150785277
775	0.2150333236
776	0.2149924412
777	0.2149583024
778	0.2149341757
779	0.2148772555
780	0.2148344529
781	0.2148044071
782	0.2147666701
783	0.214726729
784	0.2146828034
785	0.2146487647
786	0.2146021487
787	0.2145782314
788	0.214540379
789	0.2144771896
790	0.2144293034
791	0.2143955866
792	0.2143555401
793	0.2143257895
794	0.2142838061
795	0.2142419574
796	0.2142182366
797	0.2141888093
798	0.2141429309
799	0.2140850599
800	0.2140477814
801	0.214024243
802	0.2139802965
803	0.2139468414
804	0.2139122931
805	0.2138686879
806	0.2138130798
807	0.2137590949
808	0.2136838834
809	0.2136546437
810	0.2136018199
811	0.2135558626
812	0.2135183971
813	0.2134949669
814	0.2134288825
815	0.2133609465
816	0.2133277284
817	0.2132988101
818	0.2132213361
819	0.213139316
820	0.2130979147
821	0.2130558875
822	0.213022837
823	0.2129714642
824	0.2129481893
825	0.212904726
826	0.2128766985
827	0.2128403972
828	0.2127835792
829	0.2127506768
830	0.212727684
831	0.212684331
832	0.2126510784
833	0.2125952459
834	0.21255428
835	0.2125178709
836	0.2124752551
837	0.2124427868
838	0.2124002626
839	0.2123718546
840	0.2123340178
841	0.212311222
842	0.2122751689
843	0.2122012857
844	0.2121623636
845	0.2121300828
846	0.2120288026
847	0.2120061012
848	0.2119377285
849	0.2118956885
850	0.2118675295
851	0.211818732
852	0.2117727784
853	0.2117386859
854	0.2116762983
855	0.2116537181
856	0.2116130826
857	0.2115744953
858	0.2115182507
859	0.2114833143
860	0.211419436
861	0.2113642378
862	0.2113251622
863	0.2112931731
864	0.2112653201
865	0.2112428524
866	0.2111985648
867	0.2111551629
868	0.2111185595
869	0.2110784154
870	0.2110560409
871	0.2110243521
872	0.2109885867
873	0.210945882
874	0.2109000012
875	0.2108777774
876	0.2108401831
877	0.2108127906
878	0.2107618852
879	0.2107214542
880	0.2106606466
881	0.2106234078
882	0.2105957823
883	0.2105736107
884	0.2104988699
885	0.2104564836
886	0.2104250926
887	0.2103856388
888	0.2102992407
889	0.2102602249
890	0.2102259476
891	0.210198413
892	0.2101534545
893	0.2100834806
894	0.2100397805
895	0.2100085791
896	0.2099700006
897	0.209936058
898	0.2099088701
899	0.2098870468
900	0.2098559789
901	0.2098121353
902	0.20977472
903	0.2097406422
904	0.2097007274
905	0.2096308454
906	0.2095999502
907	0.2095730212
908	0.2095469505
909	0.2095252726
910	0.2094648431
911	0.2094213405
912	0.209358705
913	0.2093279136
914	0.2092886935
915	0.2092500954
916	0.2092140549
917	0.2091765625
918	0.2091213892
919	0.2090997588
920	0.2090249269
921	0.2089731018
922	0.2088835944
923	0.2088496975
924	0.2087825723
925	0.2087003062
926	0.2086591588
927	0.2086284855
928	0.20858981
929	0.2085682418
930	0.2085346232
931	0.2084657768
932	0.2084124787
933	0.2083723926
934	0.2083456762
935	0.2082849738
936	0.2082441914
937	0.2082137168
938	0.20817715
939	0.2081413794
940	0.2081198836
941	0.2080985111
942	0.2080659374
943	0.2080394838
944	0.2080005476
945	0.2079792737
946	0.2079491271
947	0.2079279251
948	0.2078938491
949	0.2078639217
950	0.2078100484
951	0.207789101
952	0.2077503108
953	0.2077240813
954	0.2076803256
955	0.2076266036
956	0.2075877939
957	0.2075521503
958	0.2075196477
959	0.2074774562
960	0.2074477722
961	0.207407955
962	0.2073819793
963	0.2073489072
964	0.2073281128
965	0.2072934839
966	0.2072565173
967	0.2071825671
968	0.2071531682
969	0.2070985991
970	0.2070220858
971	0.2069827619
972	0.2069571405
973	0.2068578071
974	0.2067815316
975	0.2067460893
976	0.2067141035
977	0.2066761184
978	0.2066296684
979	0.2066089442
980	0.2065701726
981	0.2065408923
982	0.2065202739
983	0.2064864125
984	0.2064446958
985	0.2064241567
986	0.2063494379
987	0.2063169584
988	0.2062964954
989	0.2062673933
990	0.2062112225
991	0.2061865458
992	0.2061467454
993	0.2061049636
994	0.2060486495
995	0.2060125908
996	0.2059757671
997	0.205946734
998	0.2059094408
999	0.2058774954
